household_id,building_id,vdcmun_id,district_id
5601,56,7,1
6301,63,7,1
9701,97,7,1
9901,99,7,1
11501,115,7,1
12701,127,7,1
13701,137,7,1
17701,177,7,1
18401,184,7,1
19801,198,7,1
20401,204,7,1
21601,216,7,1
23401,234,7,1
24701,247,7,1
25201,252,7,1
26301,263,7,1
26401,264,7,1
29101,291,7,1
29201,292,7,1
29501,295,7,1
31001,310,7,1
32701,327,7,1
33401,334,7,1
34101,341,7,1
37601,376,7,1
37801,378,7,1
37901,379,7,1
41601,416,7,1
43201,432,7,1
44101,441,7,1
46101,461,7,1
47501,475,7,1
48001,480,7,1
52401,524,7,1
52901,529,7,1
54101,541,7,1
55501,555,7,1
55901,559,7,1
56201,562,7,1
56901,569,7,1
57701,577,7,1
59001,590,7,1
61401,614,7,1
65101,651,5,1
69401,694,5,1
70001,700,5,1
70701,707,5,1
71601,716,5,1
73801,738,5,1
75601,756,5,1
79401,794,5,1
79601,796,5,1
84301,843,5,1
86001,860,5,1
87501,875,5,1
90701,907,5,1
90901,909,5,1
93101,931,5,1
94101,941,5,1
94401,944,5,1
94901,949,5,1
97201,972,5,1
98001,980,5,1
98601,986,5,1
99701,997,5,1
105001,1050,5,1
106301,1063,5,1
106501,1065,5,1
106901,1069,5,1
111901,1119,5,1
112701,1127,5,1
114501,1145,5,1
114601,1146,5,1
115201,1152,5,1
116601,1166,5,1
121801,1218,5,1
123801,1238,5,1
127001,1270,8,1
127101,1271,8,1
127801,1278,8,1
129201,1292,8,1
132601,1326,8,1
134201,1342,8,1
135201,1352,8,1
136601,1366,8,1
138201,1382,8,1
142701,1427,8,1
143101,1431,8,1
146301,1463,8,1
147101,1471,8,1
147201,1472,8,1
148301,1483,8,1
150001,1500,8,1
150501,1505,8,1
152401,1524,8,1
152701,1527,8,1
155801,1558,8,1
158701,1587,8,1
159801,1598,8,1
160201,1602,8,1
167401,1674,8,1
168001,1680,8,1
171601,1716,8,1
172101,1721,8,1
173501,1735,8,1
173901,1739,8,1
174801,1748,8,1
175401,1754,8,1
176101,1761,8,1
176601,1766,8,1
178201,1782,8,1
180701,1807,8,1
181901,1819,8,1
182801,1828,8,1
186401,1864,8,1
186501,1865,8,1
188301,1883,8,1
191301,1913,8,1
191401,1914,8,1
191901,1919,8,1
193001,1930,8,1
193002,1930,8,1
197301,1973,8,1
198001,1980,8,1
202601,2026,8,1
206301,2063,8,1
207301,2073,8,1
207801,2078,8,1
210301,2103,8,1
210302,2103,8,1
211001,2110,8,1
213901,2139,8,1
217701,2177,8,1
218501,2185,8,1
218801,2188,8,1
219201,2192,8,1
220801,2208,8,1
222001,2220,8,1
222701,2227,8,1
223301,2233,8,1
225301,2253,8,1
226701,2267,8,1
230501,2305,8,1
232301,2323,7,1
232901,2329,7,1
233101,2331,7,1
234101,2341,7,1
237601,2376,7,1
240901,2409,7,1
244901,2449,7,1
246701,2467,7,1
248001,2480,7,1
249101,2491,7,1
251501,2515,7,1
254801,2548,7,1
255301,2553,7,1
255701,2557,7,1
260801,2608,7,1
261701,2617,7,1
261801,2618,7,1
267601,2676,7,1
270101,2701,7,1
271601,2716,7,1
272301,2723,7,1
272501,2725,7,1
273501,2735,7,1
275101,2751,7,1
276601,2766,7,1
276801,2768,7,1
280801,2808,7,1
285201,2852,7,1
288001,2880,7,1
288901,2889,7,1
290101,2901,7,1
292301,2923,7,1
297301,2973,7,1
297901,2979,7,1
299101,2991,7,1
302701,3027,6,1
304301,3043,6,1
305101,3051,6,1
306301,3063,6,1
308801,3088,6,1
310601,3106,6,1
312801,3128,6,1
314001,3140,6,1
318201,3182,6,1
319901,3199,6,1
322001,3220,6,1
322601,3226,6,1
324301,3243,6,1
324601,3246,6,1
326301,3263,6,1
326801,3268,6,1
327101,3271,6,1
328701,3287,6,1
331801,3318,6,1
332201,3322,6,1
333801,3338,6,1
336801,3368,6,1
337901,3379,6,1
341701,3417,6,1
344701,3447,6,1
347001,3470,6,1
347701,3477,6,1
349501,3495,6,1
350801,3508,6,1
355501,3555,6,1
355701,3557,6,1
357601,3576,6,1
358301,3583,6,1
358701,3587,6,1
359901,3599,6,1
360401,3604,6,1
362101,3621,6,1
362701,3627,6,1
364001,3640,6,1
367001,3670,6,1
369001,3690,6,1
370201,3702,6,1
370901,3709,6,1
371001,3710,6,1
374401,3744,6,1
375001,3750,6,1
375701,3757,6,1
376001,3760,6,1
377301,3773,6,1
379401,3794,6,1
379601,3796,6,1
381301,3813,6,1
384201,3842,6,1
385401,3854,7,1
385501,3855,7,1
386501,3865,7,1
388101,3881,7,1
388401,3884,7,1
390001,3900,7,1
390601,3906,7,1
392801,3928,7,1
394901,3949,7,1
397901,3979,7,1
405201,4052,7,1
410101,4101,7,1
411901,4119,7,1
412401,4124,7,1
415701,4157,7,1
416401,4164,7,1
417201,4172,7,1
419601,4196,7,1
420601,4206,7,1
423501,4235,7,1
425401,4254,7,1
425501,4255,7,1
425701,4257,7,1
426201,4262,7,1
426202,4262,7,1
428601,4286,7,1
430901,4309,7,1
431101,4311,7,1
433201,4332,7,1
434701,4347,7,1
436901,4369,7,1
440401,4404,2,1
445401,4454,2,1
446101,4461,2,1
451301,4513,2,1
451401,4514,2,1
451402,4514,2,1
452601,4526,2,1
453001,4530,2,1
453901,4539,2,1
454401,4544,2,1
456301,4563,2,1
456801,4568,2,1
458701,4587,2,1
459901,4599,2,1
460901,4609,2,1
460902,4609,2,1
461501,4615,2,1
461601,4616,2,1
463701,4637,2,1
467801,4678,2,1
468601,4686,2,1
469301,4693,2,1
469701,4697,2,1
471301,4713,2,1
474001,4740,2,1
476601,4766,2,1
476701,4767,2,1
476702,4767,2,1
482001,4820,2,1
482201,4822,2,1
484001,4840,2,1
486401,4864,2,1
487001,4870,2,1
488101,4881,2,1
488201,4882,2,1
488401,4884,2,1
488801,4888,2,1
489401,4894,2,1
492401,4924,2,1
497601,4976,2,1
498501,4985,2,1
498901,4989,3,1
499801,4998,3,1
502601,5026,3,1
505201,5052,3,1
505401,5054,3,1
505801,5058,3,1
506301,5063,3,1
506701,5067,3,1
506702,5067,3,1
508101,5081,3,1
508801,5088,3,1
510801,5108,3,1
511301,5113,3,1
512701,5127,3,1
513901,5139,3,1
515501,5155,3,1
516501,5165,3,1
516601,5166,3,1
520801,5208,3,1
521001,5210,3,1
521101,5211,3,1
521701,5217,3,1
523301,5233,3,1
526201,5262,3,1
